City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,jakobstad,63.6749,22.7026,274.84,62,100,5.55,FI,1733159930
324,qulsary,46.9531,54.0198,271.25,70,89,1.44,KZ,1733159931
325,peace river,56.2501,-117.286,261.32,97,100,4.12,CA,1733159751
326,khvalynsk,52.4906,48.1058,272.05,91,37,2.69,RU,1733159933
327,hasaki,35.7333,140.8333,288.9,64,14,3.61,JP,1733159934
328,mhamid,29.82,-5.72,295.57,23,0,1.31,MA,1733159935
329,dryden,49.7833,-92.7503,263.31,85,100,2.06,CA,1733159936
330,salinopolis,-0.6136,-47.3561,302.71,67,25,4.82,BR,1733159938
331,argo,37.6333,22.7333,284.22,93,100,2.87,GR,1733159939
332,kone,-21.0595,164.8658,296.92,78,46,2.45,NC,1733159940
333,aginskoye,51.1,114.53,254.56,79,56,6.63,RU,1733159941
334,sisimiut,66.9395,-53.6735,265.4,76,100,3.44,GL,1733159942
335,moussoro,13.6408,16.4901,298.85,14,93,4.13,TD,1733159943
336,haiku-pauwela,20.9219,-156.3051,294.28,76,8,3.13,US,1733159944
337,callao,-12.0667,-77.15,296.31,68,75,3.09,PE,1733159683
338,staroshcherbinovskaya,46.6311,38.6742,273.18,80,39,4.18,RU,1733159947
339,korla,41.7597,86.1469,273.37,61,51,0.66,CN,1733159948
340,santa ana de yacuma,-13.75,-65.4333,307.12,59,75,6.69,BO,1733159949
341,jurm,36.8648,70.8342,274.09,75,100,1.85,AF,1733159950
342,porto novo,6.4965,2.6036,301.58,60,2,3.8,BJ,1733159851
343,abadeh,31.1608,52.6506,276.58,45,20,1.45,IR,1733159952
344,esmeraldas,-19.7625,-44.3139,300.61,66,72,4.02,BR,1733159676
345,quelimane,-17.8786,36.8883,299.12,69,20,2.57,MZ,1733159956
346,forster,-32.1667,152.5167,295.03,94,54,4.94,AU,1733159957
347,itaituba,-4.2761,-55.9836,305.24,66,75,1.03,BR,1733159958
348,turpan,42.9333,89.1667,276.74,40,100,0.99,CN,1733159959
349,coahuayana de hidalgo,18.7,-103.6583,303.07,52,0,1.8,MX,1733159960
350,kruje,41.5092,19.7928,280.16,62,0,1.54,AL,1733159961
351,yenangyaung,20.4667,94.8833,296.73,64,24,1.65,MM,1733159962
352,kasempa,-13.4584,25.8338,296.02,41,43,1.93,ZM,1733159963
353,savonlinna,61.8699,28.88,277.18,75,100,9.26,FI,1733159964
354,hrebinka,50.1171,32.4361,271.65,88,7,2.76,UA,1733159966
355,tokar,18.4254,37.729,298.61,64,66,4.03,SD,1733159967
356,akureyri,65.6835,-18.0878,256.11,78,40,3.09,IS,1733159968
357,box elder,41.5005,-112.8764,276.68,43,68,1.4,US,1733159970
358,tevriz,57.509,72.4042,268.37,94,100,2.97,RU,1733159971
359,uzgen,40.7699,73.3007,274.45,57,5,1.75,KG,1733159972
